,mean_pm25,popdensity,older_percent,poverty,medhouseholdincome,pct_blk,hispanic,education,medianhousevalue,pct_owner_occ,obese,smoke,beds,mean_summer_temp,mean_winter_temp,mean_summer_rm,mean_winter_rm,total,Population,state,q_popdensity,fips,Lat,Long,Confirmed,Deaths
0,11.712587053239698,201.040355,0.11938264024074198,0.0455705700387326,46433.8333333333,0.263015816983277,0.016284779941299,0.28612642592202103,105021.111111111,0.771370735338628,0.33299999999999996,0.1808155718,85,306.02345097939303,288.085090873133,96.055417473832,85.6518449946085,208883,918492,0,4,1001,32.53952745,-86.64408227,212,3
1,10.077723050925501,217.41562652381,0.16957354598025598,0.0942269350720793,45903.3777777778,0.0973848085832984,0.0311283815996004,0.17448467876409,158367.158730159,0.7846189376662429,0.31,0.174890326,398,305.516633201269,290.208860774719,97.97154375054208,89.73097231091141,208883,3102984,0,4,1003,30.72774991,-87.72207058,282,9
2,10.981967054714401,33.8891,0.143295504164146,0.210081479152233,33020.25,0.47478774905705295,0.0397049871807199,0.3966941283456,82200.0,0.696278375282179,0.41700000000000004,0.21999984530000002,74,306.062248559024,289.242107243474,97.3716748161449,88.6335717103514,208883,499262,0,2,1005,31.868263,-85.3871286,147,1
3,11.9987147303031,39.08677925,0.129413540644577,0.09138928615169,43257.0,0.133431041578065,0.0583608334677453,0.269033389522312,99318.5617656931,0.803954704234745,0.376,0.1911419989,35,305.982177012146,287.362832468956,96.2930769394653,86.4858661148299,208883,397470,0,2,1007,32.99642064,-87.12511459999999,71,1
4,11.793022535048198,282.15191125,0.146497702828283,0.0864050889084458,41491.0833333333,0.00983120864995819,0.178954015466602,0.35616508427295296,103779.41176470599,0.700121814378787,0.33799999999999997,0.1920867197,40,305.17886460922904,285.56567573175,94.63094867782742,85.4491387986955,208883,997531,0,4,1009,33.98210918,-86.56790593,60,1
5,11.3135567572804,14.49910325,0.139568192400348,0.273640798296164,32392.0,0.8010960441492081,0.00043143501924864,0.5502045487599679,87500.0,0.809504912104861,0.37200000000000005,0.22894664010000002,61,305.867718802397,288.691328835099,97.1384204608283,89.16812250151578,208883,197588,0,2,1011,32.10030533,-85.71265535,201,4
6,10.8041461102477,18.36076575,0.16869008901633098,0.13612481590446002,32453.25,0.387741861716391,0.0058851412280735,0.23042759075757802,63750.0,0.782217586723808,0.433,0.21765334960000002,94,306.15849235986303,289.319950128422,97.11739970401399,88.41467890977921,208883,374201,0,2,1013,31.75300095,-86.68057478,396,16
7,12.306849769718198,333.254175,0.146201343136319,0.10819963299974199,46977.2,0.161796096816796,0.0362680450992991,0.22031388435687,127720.0,0.725282788334407,0.385,0.20612560370000002,590,305.106978399561,286.032286723183,96.3851336542368,86.5853634600088,208883,2073654,0,4,1015,33.77483727,-85.82630386,153,3
8,11.4230826565496,88.0921583333333,0.167642568620591,0.140610681676934,37719.0,0.361951031499036,0.003915305539548279,0.33416556093428007,102733.33333333301,0.748886892209286,0.401,0.1939292705,115,305.667352569565,287.581219682084,96.2372096279773,87.7675987052216,208883,628820,0,3,1017,32.91360079,-85.39072749,352,24
9,12.176334431637098,56.265643999999995,0.179540576676108,0.13530672297490098,38159.0,0.0438478848627214,0.0201368200340992,0.292013899273056,105260.0,0.787454960970677,0.35,0.1749867379,60,305.25672086733397,285.222569617883,96.0380888418939,87.75722353775811,208883,454744,0,3,1019,34.17805983,-85.60638968,36,3
10,11.8899267421764,65.15430714285719,0.137403368476839,0.15880544944724698,43070.5714285714,0.137348437941302,0.0462378083992565,0.24075878649604998,96142.8571428572,0.798135636837696,0.377,0.20188979059999998,26,305.770240795932,287.445411859943,95.93478176445721,85.8808447692726,208883,762303,0,3,1021,32.85044126,-86.7173256,99,1
11,10.419295611172402,13.154105300000001,0.17567598968297596,0.17640851648750197,31159.428571428598,0.41366405776719606,0.0017754318618042198,0.445750970942109,54907.1577649608,0.804444665453882,0.413,0.1879324829,25,306.610630647453,289.002435145901,96.9137359650746,88.2048992779755,208883,258214,0,1,1023,32.02227341,-88.26564429999999,149,8
12,10.589687393255,24.5766242222222,0.15492069671784303,0.13468951935394502,26443.685714285697,0.4230916102713879,0.0009360292409635189,0.25913557978282703,69837.7777777778,0.690823690789655,0.341,0.2057965532,85,306.539889641328,289.541421286965,97.061486060679,87.3819565145343,208883,472616,0,2,1025,31.68099859,-87.83548597,134,2
13,11.3761869637611,33.8427466666667,0.177267143176234,0.29983574588070194,36142.0,0.11752177054203801,0.0319084772576878,0.43389115898434205,76100.3433122769,0.681319585307298,0.406,0.1962035415,45,304.660400182966,286.391882941875,97.4825176103129,87.7888865777895,208883,250712,0,2,1027,33.26984193,-85.85836077,27,2
14,11.362884688823302,36.1045425,0.15687730370448902,0.129743029540788,39794.25,0.0154973264184761,0.007948921087040659,0.413779809755042,93300.0,0.769858908279398,0.373,0.1837446577,0,304.42285678677104,285.915957995259,97.68286990442492,87.9129431827676,208883,263977,0,2,1029,33.67679204,-85.52005899,14,1
15,10.916880311605802,87.203352,0.14915354714334603,0.0715277891336603,42147.0,0.0983817377579649,0.0398486210106222,0.26622436883836603,102460.0,0.729621424310119,0.342,0.17444757589999998,131,306.13113735207696,289.712874714421,97.28072164500799,87.3100007724567,208883,856929,0,3,1031,31.39932826,-85.98901039,226,1
16,11.199232744967802,373.59380600000003,0.16974482444251998,0.10147492537601,41312.0,0.17600883483557,0.0268100671651504,0.26357146608648396,96800.0,0.717658303987085,0.306,0.1865882106,363,305.19257485899897,284.68167444206796,95.5697312995212,86.95980546424191,208883,980619,0,4,1033,34.69847452,-87.80168544,165,2
